"address","city","zipcode","latitude","longitude"
"6900 E 10 Mile Rd","Center Line",48015,42.476739,-83.035011
"26522 Van Dyke Ave","Center Line",48015,42.488544,-83.027064
"700 E Elmwood Ave","Clawson",48017,42.540775,-83.135976
"21331 Kelly Rd","Eastpointe",48021,42.455332,-82.936944
"15000 E. 10 Mile","Eastpointe",48021,42.479381,-82.966867
"31000 Telegraph Rd","Bingham Farms",48025,42.515339,-83.284886
"32100 Utica Rd","Fraser",48026,42.532811,-82.948586
"32221 Utica Rd","Fraser",48026,42.533051,-82.949921
"16664 15 Mile Rd","Fraser",48026,42.553466,-82.954536
"23400 Hughes Ave","Hazel Park",48030,42.46629,-83.090413
"624 E 9 Mile Rd","Hazel Park",48030,42.461268,-83.09895
"25071 W. 10 Mile Rd.","Southfield",48033,42.471178,-83.292652
"22170 W 9 Mile Rd","Southfield",48033,42.457965,-83.261717
"23999 W 10 Mile Rd","Southfield",48033,42.471583,-83.278471
"22150 W 9 Mile Rd","Southfield",48033,42.458517,-83.262388
"24750 Swanson Rd","Southfield",48033,42.483057,-83.287444
"37500 Garfield Rd","Clinton Twp",48036,42.572702,-82.950432
"43550 Elizabeth Rd","Clinton Twp",48036,42.616833,-82.887055
"44511 N. Gratiot  Ave.","Clinton Township",48036,42.624123,-82.864236
"36975 Utica Rd","Clinton Twp",48036,42.567392,-82.96853
"42590 Stepnitz Dr","Clinton Twp",48036,42.607341,-82.867111
"15600 19 Mile Road","Clinton Township",48038,42.611863,-82.966587
"43800 Garfield Rd.","Clinton Twp",48038,42.618886,-82.953336
"19800 Hall Rd","Clinton Twp",48038,42.627909,-82.924665
"42669 Garfield Rd","Clinton Twp",48038,42.610729,-82.95489
"43777 N. Groesbeck Hwy.","Clinton Township",48038,42.618437,-82.884417
"2 Crocker Blvd","Mt. Clemens",48043,42.595725,-82.876533
"43565 Elizabeth Rd","Mt. Clemens",48043,42.617194,-82.88809
"175 N Groesbeck Hwy","Mt. Clemens",48043,42.6073,-82.897293
"100 Northbound Gratiot Ave","Mt. Clemens",48043,42.601548,-82.87553
"617 10th St","Port Huron",48060,42.977537,-82.43336
"2601 13th Street","Port Huron",48060,42.956027,-82.437385
"1431 Lapeer Ave.","Port Huron",48060,42.977129,-82.441142
"1001 Military St","Port Huron",48060,42.973705,-82.424525
"718 Griswold St","Port Huron",48060,42.967194,-82.427977
